,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
0,688981.SH,688981,1,中芯国际,59.9,电子设备,境外,0.59,1.53,16.86,10.0,79.21,19.57,1172.48,59.9,1.41
1,688599.SH,688599,1,天合光能,50.61,电气设备,常州市,0.28,1.13,11.25,11.58,21.73,13.28,672.19,50.61,-1.21
2,688561.SH,688561,1,奇安信,77.24,信息技术,北京市,0.11,-1.65,12.84,-12.06,6.85,4.64,358.09,77.24,-1.06
3,688396.SH,688396,1,华润微,64.08,电子设备,境外,0.17,1.56,14.68,11.22,13.2,13.2,845.91,64.08,-0.64
4,688363.SH,688363,1,华熙生物,114.39,医药生物,济南市,0.05,2.02,13.79,15.75,4.81,1.98,226.02,114.39,1.31
5,688303.SH,688303,1,大全能源,48.37,有色金属,石河子市,0.07,9.4,21.31,61.67,21.37,5.06,244.94,48.37,0.21
6,688187.SH,688187,1,时代电气,52.04,交运设备,株洲市,0.07,1.8,24.38,7.61,14.16,2.11,109.93,52.04,3.15
7,688169.SH,688169,1,石头科技,342.73,机械设备,北京市,0.1,9.14,98.13,9.67,0.94,0.94,321.11,342.73,-3.51
8,688126.SH,688126,1,沪硅产业,24.3,电子设备,上海市,0.14,0.05,4.71,1.08,27.32,15.86,385.47,24.3,-1.58
9,688111.SH,688111,1,金山办公,470.34,信息技术,北京市,0.44,2.42,18.92,13.59,4.61,4.61,2169.51,470.34,-0.35
10,688065.SH,688065,1,凯赛生物,61.26,基础化工,上海市,0.05,0.83,18.66,4.52,5.83,2.64,161.46,61.26,1.09
11,688036.SH,688036,1,传音控股,129.47,电子设备,深圳市,0.21,2.81,19.32,15.28,8.04,8.04,1040.87,129.47,-1.15
12,688012.SH,688012,1,中微公司,180.2,电子设备,上海市,0.38,1.9,25.13,7.95,6.16,6.16,1110.47,180.2,4.28
13,688008.SH,688008,1,澜起科技,76.3,电子设备,上海市,0.3,0.88,8.5,11.08,11.36,11.36,866.83,76.3,1.42
14,688005.SH,688005,1,容百科技,70.8,有色金属,宁波市,0.1,3.0,15.45,21.84,4.51,2.8,198.54,70.8,-0.72
15,605499.SH,605499,1,东鹏饮料,184.6,食品饮料,深圳市,0.04,2.91,12.01,25.78,4.0,0.76,140.31,184.6,-1.01
16,605117.SH,605117,1,德业股份,248.55,家电,宁波市,0.12,4.61,14.25,30.68,2.39,0.81,201.92,248.55,-1.91
17,603993.SH,603993,1,洛阳钼业,5.89,有色金属,洛阳市,0.21,0.28,2.35,13.25,215.99,175.66,1034.62,5.89,-1.34
18,603986.SH,603986,1,兆易创新,138.6,电子设备,北京市,0.45,3.16,22.8,14.58,6.67,6.63,919.31,138.6,3.05
