,text,date,time,user_id
0,rt AT_USER summary of yesterday's webcast featuring $ aapl $ wynn $ goog $ lgf tradereducation options hedgingstrategies - - URL,2014-01-01,03:59:03,1938270918
1,rt AT_USER summary of yesterday's webcast featuring $ aapl $ wynn $ goog $ lgf tradereducation options hedgingstrategies - - URL,2014-01-01,03:29:29,1933063572
2,itv will boost apple URL $ aapl apple,2014-01-01,18:08:47,23059499
3,"iphone users are more intelligent than samsung , blackberry and htc owners , $ aapl $ bbry , URL",2014-01-01,01:52:31,23954327
4,rt AT_USER summary of yesterday's webcast featuring $ aapl $ wynn $ goog $ lgf tradereducation options hedgingstrategies - - URL,2014-01-01,01:18:36,1937591882
5,2013 wrap-up and trading set review - part iii URL $ aapl apple $ bp $ cnw $ csco $ csx $ cvx $ goog $ hpq $ ibm $ intc $ ngg,2014-01-01,10:52:20,23059499
6,apple screwed up big time URL $ amzn $ aapl,2014-01-01,15:01:12,23669783
7,rt AT_USER summary of yesterday's webcast featuring $ aapl $ wynn $ goog $ lgf tradereducation options hedgingstrategies - - URL,2014-01-01,23:10:08,1864753100
8,$ aapl - wall st . kicks off new year on lower note -> URL stock stocks stockaction,2014-01-02,15:45:02,153395860
9,rt AT_USER here's how apple could be making a huge push into healthcare --> URL $ aapl,2014-01-02,04:31:32,1653399757
10,"rt AT_USER our top 3 trade ideas for 2014 and two $ 1,000 futures wins already in the bank $ gld $ uso $ aapl - - URL",2014-01-02,15:28:15,1951070833
11,AT_USER $ aapl having breathing difficulties,2014-01-02,16:52:48,915436742
12,emylers : cheeky's board ! : $ aapl up to date company activities and other impo URL,2014-01-02,17:02:11,2197099980
13,$ aapl blackberry and singer alicia keys to part ways URL,2014-01-02,22:46:49,1604673104
14,$ aapl - chinas xiaomi says to more than double smartphone sales in 2014 -> URL stock stocks stockaction,2014-01-02,11:15:21,153395860
15,"rt AT_USER our top 3 trade ideas for 2014 and two $ 1,000 futures wins already in the bank $ gld $ uso $ aapl - - URL",2014-01-02,20:29:42,1964840965
16,"rt AT_USER our top 3 trade ideas for 2014 and two $ 1,000 futures wins already in the bank $ gld $ uso $ aapl - - URL",2014-01-02,19:23:00,2200941410
17,what are your top picks for q1 2014 ? here are mine : $ aapl $ cree $ fb $ cldx $ sne,2014-01-02,17:54:54,24312698
18,"rt AT_USER our top 3 trade ideas for 2014 and two $ 1,000 futures wins already in the bank $ gld $ uso $ aapl - - URL",2014-01-02,19:52:15,1966889118
19,$ aapl us stocks-wall st kicks off new year on lower note URL,2014-01-02,16:24:17,1604673104
20,rt AT_USER apple gained 8 % in 2013 vs s & p's 30 % but don't cry for $ aapl investors . at least not the long term ones . URL,2014-01-02,15:12:40,85837311
